canonical_name,ingredient_id,aliases
beetroot,ING0190,
beetroot leaves and stems,ING2784,
beetroot leaves and stems –,ING2785,
beetroots,ING1656,
beets,ING0923,
bell pepper,ING1819,
bell peppers,ING0600,
berbere spice,ING2494,
besan,ING0029,
besan ),ING0637,
besan or chickpea flour,ING2290,
bhindi,ING0338,
big bitter gourd,ING1250,
big green pepper,ING1713,
big piece jaggery,ING1252,
biryani masala,ING0193,
biryani masala powder,ING1435,
biscoff cookies,ING0636,
bitter gourd,ING0712,
black beans,ING0850,
black beans [234 grams],ING1769,
black cardamom,ING0107,
black cardamoms,ING0473,
black chana,ING1071,
black chickpea,ING1389,
black chickpeas,ING1852,
black eyed peas,ING0419,
black freshly,ING2605,
black grapes,ING1155,
black loose tea leaves,ING1755,
black mustard seeds,ING0365,
black olives,ING1206,
black pepper or,ING1579,
black peppercorn,ING1643,
black peppercorns,ING0120,
black peppercorns ),ING2799,
black raisins,ING2426,
black salt,ING0094,
black salt [kala namak],ING1629,
black sesame seeds,ING0442,
black tea bags,ING0592,
"blocks cream cheese, softened",ING1192,
blueberries,ING0951,
boiled chickpeas,ING2815,
boiled potato,ING0709,
boiled potatoes,ING1114,
boiled vegetables,ING1106,
bombay rava,ING0539,
boondi,ING0395,
bowl beetroot,ING1255,
bowl set dosa batter,ING1258,
bread crumbs,ING0149,
bread slice,ING0713,
bread slices,ING0226,
breadcrumbs,ING0441,
brinjal,ING0522,
broccoli,ING0736,
broccoli florets,ING0368,
broccoli head,ING2142,
broken cashews,ING0252,
broken raw cashews,ING2055,
broken vermicelli,ING1812,
brown rice,ING2041,
brown rice`,ING1860,
brown sugar,ING0123,
buckwheat flour,ING2046,
bunch cilantro,ING0968,
bunch cilantro or coriander leaves,ING2842,
bunch mustard leaves,ING1457,
bunch palak,ING1484,
bunch palak leaves,ING1166,
bunch radish leaves,ING1463,
bunch spinach,ING0449,
bunches cilantro,ING0955,
bura,ING0958,
burger bun,ING1419,
burger buns,ING0594,
butter,ING0023,unsalted butter
"butter , at room temperature. you can use either unsalted or salted butter. i used unsalted.)",ING2275,
butter for roasting,ING0435,
butter for serving,ING1045,
butter for toasting,ING0783,
butter if possible),ING1915,
butter to grill,ING1410,
"butter, room temperature",ING0762,
buttermilk,ING0396,
butternut squash,ING2200,
byadgi,ING1308,
cabbage,ING0070,
cabbage leaf for placing in tray,ING1219,
"cabbage, carrot, cilantro",ING2504,
cabbage: 1,ING1944,
can coconut milk,ING1843,
can condensed milk,ING1802,
can evaporated milk,ING1801,
can of 14 oz diced tomatoes,ING2446,
can sweetened condensed milk,ING0990,
can sweetened condensed milk [14 oz,ING1563,
canada dry zero,ING2392,
"candied fennel, coconut",ING2400,
"candied fennel, dried rose petals, crushed pistachios, edible gold leaves",ING2387,
"candied fennel, tutti frutti",ING2184,
canided fennel,ING1786,
canola oil,ING0275,
canola oil or any flavorless oil,ING0942,
cantaloupe,ING2871,
capsicum,ING0035,
caraway seeds,ING0720,
cardamom,ING0117,
cardamom essence,ING0938,
cardamom pods,ING0950,
cardamom powder,ING0020,
cardamom powder [from 6-7 green cardamom pods],ING1824,
cardamom powder [optional],ING2296,
cardamom power,ING1529,
cardamoms,ING1291,
carom seeds,ING0541,
carrot,ING0034,carrots
carrot ),ING1241,
carrot [around 1,ING1626,
carrot cubes,ING1574,
cashew milk,ING2049,
cashew milk yogurt,ING2133,
"cashew milk, unsweetened",ING2132,
cashew nuts,ING0099,
cashew nuts ),ING2690,
cashew paste,ING0333,
cashews,ING0059,cashew
caster sugar,ING0639,
cauliflower,ING0212,
"cauliflower , cut into size florets)",ING2077,
cauliflower florets,ING0247,
cauliflower head,ING1701,
cayenne,ING1603,
cayenne pepper,ING0248,
celery,ING0349,
celery ribs,ING2597,
cereal of choice,ING2450,
chaas,ING2945,
chaat masala,ING0027,
"chaat masala, kala namak , cumin powder",ING1898,
"chaat masala, red chili powder",ING2438,
chai tea bags [ i used tazo organic black chai tea bags ],ING2582,
chana,ING0447,
chana dal,ING0042,
chana dal [split bengal gram],ING1672,
chana masala,ING1100,
chana masala powder,ING0675,
chandi ka vark,ING0477,
channa dal,ING0389,
chapathi,ING1061,
chapati,ING0703,
charoli,ING2840,
chat masala,ING0308,
chat masala [optional],ING1708,
chat masala or garam masala,ING1947,
cheddar,ING0704,
cheddar cheese,ING0525,
cheese,ING0293,
cheese ),ING2782,
cheese slice,ING1202,
cheese slices,ING0827,
cheese slices ),ING1953,
cheese slices [i used amul cheese slice],ING1715,
cheese slices [i used pepper jack cheese],ING1622,
cherries,ING0837,
cherry,ING0545,
cherry tomato,ING0779,
cherry tomatoes,ING2165,
chestnuts,ING2156,
chia seeds,ING0715,
chickpea,ING0337,
chickpea flour,ING0591,
chickpea flour [besan],ING0911,
chickpeas,ING0408,
chikpea,ING1411,
chili,ING0041,chilli
chili bean sauce,ING0900,
chili garlic sauce,ING2319,
chili oil,ING0932,
chili sauce,ING1168,
chilkewali moong dal,ING1003,
chill,ING1466,
chilli flakes,ING0206,
chilli paste,ING1370,
chilli powder,ING0292,
chilli sauce,ING0155,
chipotle peppers in adobo sauce,ING1566,
chipotle powder,ING0925,
chipotle powder + more to sprinkle at the end,ING1770,
chiroti rava,ING1539,
chives,ING2470,
choc bits,ING1473,
choco chips,ING0717,
chocolate,ING0446,
chocolate chip,ING0439,
chocolate chips,ING0363,
chocolate chunks,ING2431,
chocolate pieces,ING1122,
chocolate sauce,ING0820,
chocolate syrup,ING1176,
chocolate syrup for toppings,ING1304,
chocolate wafers,ING2491,
chole,ING2383,
chole masala,ING0474,
chole masala or store-bought),ING2227,
chum chum,ING2024,
churumuri,ING0696,
cilantro ),ING2152,
cilantro + more to sprinkle later,ING1647,
cilantro chutney,ING0146,
cilantro leaves,ING0599,
cilantro mint chutney,ING1624,
cilantro or coriander leaves ),ING2909,
cilantro or mint,ING1568,
cilantro or parsley,ING2496,
cinammon stick,ING0744,
cinnamon,ING0082,
cinnamon or cardamom powder,ING2005,
cinnamon powder,ING0097,
cinnamon powder [i went a little heavy on cinnamon powder,ING1660,
cinnamon stick,ING0037,
cinnamon stick ),ING2800,
citric acid,ING0631,
coarse besan ),ING2839,
coco powder,ING1299,
cocoa powder,ING0089,
coconut,ING0046,
coconut ),ING1004,
"coconut , grated)",ING1018,
coconut [use fresh for best result],ING1737,
coconut chutney,ING1107,
coconut cream,ING1611,
coconut extract,ING0846,
coconut flakes,ING2451,
coconut leaf stick,ING1337,
coconut milk,ING0102,
coconut oil,ING0124,
coconut oil or cooking oil,ING1314,
coconut oil to grease,ING1319,
coconut powder,ING1618,
coconut slices,ING2091,
coconut sugar,ING2587,
cold milk,ING0531,
colocasia leaves,ING1531,
condensed milk,ING0189,
confectioners sugar,ING0935,
confectioners sugar or powdered sugar,ING2293,
cooked basmati rice,ING0567,
cooked black beans,ING1817,
cooked chickpeas,ING1795,
cooked quinoa,ING1581,
cooked rice,ING0164,
cooked sushi rice,ING2507,
cooked toor daal,ING1268,
cooked toor dal,ING1211,
cookies,ING2347,
cooking oil,ING1159,
cooking oil spray,ING0424,
coriander leaves,ING0015,cilantro|cilantro or coriander leaves|coriander
coriander or cilantro,ING1686,
coriander powder,ING1524,
coriander pwoder,ING1537,
coriander seeds,ING0044,
coriander to garnish,ING1426,
corn,ING0188,
corn cobs,ING2793,
corn flakes,ING1451,
corn flakes cereal,ING0975,
corn flakes crumb,ING1533,
corn flour,ING0052,
corn kernels,ING1921,
corn kernels [i used frozen corn],ING1760,
corn starch,ING0461,
"corn strips, croutons",ING2564,
corn tortillas,ING2405,
cornflakes,ING2379,
cornflour,ING0456,
cornmeal,ING1458,
cornstarch,ING0060,
cream,ING0147,
cream for garnishing,ING1548,
cream of tartar,ING2922,
creamy peanut butter,ING1949,
crumbled feta cheese,ING1895,
crumbled khoya,ING0809,
crumbled paneer,ING0612,
crushed,ING1989,
crushed almonds,ING2280,
crushed black pepper,ING0746,
crushed canned tomatoes,ING0864,
crushed coriander seeds,ING0798,
crushed dried rose petals,ING0947,
crushed dry fruits,ING1365,
crushed kasuri methi,ING0274,
crushed kasuri methi [dried fenugreek leaves],ING1700,
crushed parle-g biscuit crumbs,ING2019,
crushed peanuts,ING0839,
crushed pepper,ING1227,
crushed pineapple [ i used crushed pineapple can],ING1756,
crushed pistachios,ING0622,
crushed pistachios and dried rose petals,ING2545,
"crushed pistachios, dried rose petals, edible silver leaves, coconut powder",ING2364,
"crushed pistachios, sliced almonds, tutti frutti",ING1830,
crushed tomatoes,ING2201,
cube capsicum,ING1447,
cube paneer,ING1446,
cubes capsicum,ING0771,
cubes cheese,ING0776,
cubes mozzarella cheese,ING1101,
cubes of ice,ING1175,
cubes onion,ING1534,
cubes paneer,ING0239,
cubes panner,ING1081,
cubes potato,ING1385,
cucumber,ING0142,
cumin,ING0008,cumin powder|cumin seeds|jeera|jeera powder
"cumin powder, black salt",ING2437,
cumin seeds ),ING2796,
cumin-coriander powder,ING2642,
cupcake liners,ING0733,
curry powder,ING0183,
custard powder,ING0340,
custard powder ),ING1080,
cut french beans,ING2213,
dalia,ING0702,
daliya,ING2163,
dark chocolate,ING0772,
dark chocolate melting wafers,ING2363,
dark soy sauce,ING0494,
dates,ING0225,
desiccated coconut,ING0197,
desiccated coconut powder,ING0160,
diced butternut squash,ING2195,
diced carrots,ING2214,
diced celery,ING1798,
diced cucumber,ING1797,
diced tomato,ING1796,
dijon mustard,ING0501,
dill,ING0822,
dill leaves,ING0780,
dinner rolls,ING2389,
dosa batter,ING0339,
dosa rice,ING0559,
dragon fruit,ING1783,
dried apricots,ING2263,
dried basil,ING1761,
dried chickpeas,ING0647,
dried coconut slices,ING2744,
dried cranberries,ING2198,
dried figs,ING1727,
dried fruit,ING2264,
dried kashmir red chilli,ING1060,
dried kashmiri red chilli,ING0156,
dried kasmiri red chilli,ING1329,
dried mango powder,ING0801,
dried mango powder [amchur],ING0810,
dried milk powder,ING0840,
dried mint,ING1754,
dried mint flakes,ING1778,
dried oregano,ING0246,
dried parsley,ING1777,
dried red chili,ING0299,
dried red chilies,ING0062,
dried red chilies ),ING0986,
dried red chilis,ING1198,
dried red chilli,ING0049,
dried red chillies,ING1333,
dried rose buds,ING2013,
dried rose buds or petals,ING2026,
dried rose petal,ING2249,
dried rose petals,ING0417,
dried rose petals ),ING2952,
dried rosemary,ING2599,
dried white chickpeas,ING0518,
"dried white peas , 200 grams, soaked overnight)",ING2057,
drop yellow food color,ING2054,
drops food colour,ING1379,
drops green food color,ING1790,
drops green food colour,ING0528,
drops kesar elaichi essence,ING2021,
drops of green food colour,ING1406,
drops of kewra essence,ING1648,
drops of rose essence [optional],ING1725,
drops or ¼ tsp red food colour,ING1523,
drops paan essence,ING2223,
drops peppermint extract,ING0921,
drops rose essence,ING2269,
drops saffron food colour,ING1069,
drumstick,ING1196,
drumsticks,ING1375,
dry coconut,ING0177,
dry fenugreek leaves,ING1070,
dry fruits,ING0294,
dry garlic chutney,ING2531,
dry garlic powder,ING1200,
dry ginger powder,ING0467,
dry grapes,ING1082,
dry kala chana,ING0663,
dry mango powder,ING0288,
dry mango pwoder,ING1361,
dry milk powder,ING0819,
dry yeast,ING0223,
edible gold leaves,ING2178,
edible golden leaves,ING2306,
edible gum,ING2208,
edible silver leaves,ING0871,
egg,ING0601,
egg yolks,ING1612,
eggless mayonnaise,ING0773,
eggplant,ING0309,
eggplant ),ING2895,
eggplants,ING0830,
eggs,ING0355,
elbow macaroni,ING1445,
elephant foot yam,ING1195,
eno,ING0448,
eno ),ING2224,
eno fruit salt,ING0561,
eno fruit salt or pinch of baking soda,ING1429,
extra adobo sauce,ING1567,
extra virgin olive oil,ING2591,
extra-firm tofu,ING0838,
falooda sev,ING1185,
farsan,ING1038,
feenel seeds,ING2099,
fennel,ING0101,
fennel powder,ING0192,
fennel seed,ING2242,
fennel seeds,ING0065,
fennel seeds ),ING2797,
fennel seeds powder,ING0509,
fenugreek,ING1538,
fenugreek leaves,ING0258,
fenugreek seeds,ING0169,
fenugreek seeds powder,ING2885,
feta cheese,ING2563,
fine semolina ),ING2966,
fine sooji,ING0895,
finely grated khoya [dried milk],ING2002,
firmly packed baby spinach,ING1900,
firmly packed methi,ING1633,
fistful chocolate chunks,ING1301,
fistful coriander leaves,ING0737,
fistful mint,ING1224,
fistful of coriander leaves,ING0725,
fistful of groundnuts,ING1334,
fistful peanuts,ING1125,
fistful pudina,ING0735,
fistful raisins,ING1302,
"flattened rice, also known as poha",ING2008,
flaxseed meal,ING0630,
florets broccoli,ING1096,
florets cauliflower,ING0763,
florets gobi,ING0566,
flour,ING0495,
flour tortillas,ING2233,
french baguette,ING1649,
french loaf,ING2569,
fresh,ING0552,
fresh basil,ING0817,
fresh blueberries,ING0943,
fresh cilantro,ING1667,
fresh coconut,ING0697,
fresh cream,ING1137,
fresh cut mangoes and mango puree,ING2477,
fresh figs,ING2171,
"fresh fruits, maple syrup, butter to serve",ING2478,
fresh ginger,ING2143,
fresh ginger-garlic paste,ING1699,
fresh grated coconut,ING1321,
fresh lemon juice,ING1865,
fresh mango cubes,ING2464,
fresh mint leaves,ING1681,
fresh okras,ING1278,
fresh strawberry puree,ING1803,
fresh strawberry puree [from around 20-25 strawberries],ING1682,
fresh tuvar dana,ING2708,
freshly grated coconut,ING2547,
freshly grated nutmeg,ING0662,
fried gram dal,ING1124,
fried noodles,ING2860,
fried onion,ING0738,
fried onions,ING0568,
fried peanuts,ING1471,
frozen banana,ING1590,
frozen berries,ING1589,
frozen corn,ING2370,
frozen green peas,ING0411,
fruit salt,ING1768,
full cream cows,ING1177,
full cream milk,ING0291,
full cream milk powder,ING1215,
full fat milk powder,ING2623,
full recipe of chole,ING1226,
garam amasala,ING1544,
garam masala,ING0006,
garam masala powder,ING0076,
garam masala powder + more to sprinkle,ING1604,
garam masala powder + more to sprinkle on top,ING1634,
garam masala powder [optional],ING1630,
garam masala[,ING1427,
garlic,ING0021,garlic cloves
garlic ),ING0999,
garlic [from 3-4 garlic pods],ING1627,
garlic chives,ING1988,
garlic chutney,ING1095,
garlic mayonnaise,ING1117,
garlic powder,ING0373,
garlic salt,ING1651,
generous pinch asafoetida,ING1154,
generous pinch baking soda,ING0902,
generous pinch hing,ING0415,
generous pinch of cardamom powder,ING2020,
generous pinch of hing,ING0882,
generous pinch of nutmeg powder,ING1564,
generous pinch saffron,ING1872,
generous pinch saffron strands,ING0372,
generous pinch saffron strands hot milk),ING1983,
ghee,ING0010,
ghee ),ING0371,
ghee [clarified butter],ING1673,
ghee [or butter],ING1717,
ghee clarified butter,ING2711,
ghee for roasting,ING1453,
ghee or oil,ING0392,
ghee or oil as required,ING0742,
gingelly oil,ING1540,
ginger,ING0004,
ginger ),ING0452,
ginger - garlic paste,ING0388,
ginger [12 grams],ING1558,
ginger and garlic,ING1199,
ginger and green chili paste or crushed into mortar,ING2741,
ginger garlic paste,ING0030,
ginger garlic paste ),ING0664,
ginger julienne,ING1980,
ginger or adrak,ING1347,
ginger piece,ING1687,
ginger powder,ING0346,
ginger snaps,ING2422,
ginger-garlic,ING1074,
ginger-garlic paste,ING0075,
glass cola,ING1368,
glazed cherries,ING1610,
glutinous rice,ING2519,
gm butter,ING1400,
gm buttermilk,ING1438,
"gm carrot, grated",ING0774,
gm cocoa powder,ING1431,
gm condensed milk,ING1088,
gm cream cheese,ING1089,
gm curd,ING1068,
gm maida,ING0532,
gm milk,ING1420,
"gm milk powder, full cream",ING1421,
gm milkmaid,ING1430,
gm olive oil,ING0686,
gm or 2 pack rice noodles,ING1077,
gm sugar,ING0685,
"gm unsalted butter, room temperature",ING1087,
gm wheat flour,ING0527,
gm white button mushrooms,ING1698,
gms suvarnagadde,ING1403,
gobi,ING0544,
gochujang,ING0899,
goda masala,ING0466,
golden raisins,ING0135,
graham cracker crumbs,ING2266,
graham cracker crumbs or crushed digestive biscuits,ING2688,
gram flour,ING0553,
grams ash gourd,ING1381,
"grams butter, softened",ING1553,
grams curd,ING1412,
grams kokum,ING1374,
grams maida,ING1413,
grams oil,ING0761,
grams sugar,ING0565,
grams tutti frutti,ING1414,
grams wheat flour,ING1554,
granny smith apple,ING2396,
granulated sugar,ING0401,
grape size tamarind,ING1270,
grape sized tamarind,ING1311,
grape syrup,ING1156,
grapes,ING0543,
grate carrots,ING1859,
grated,ING1331,
grated beets,ING2127,
grated burfi and boondi,ING2368,
grated carrots,ING0909,
grated cheese,ING0463,
grated coconut,ING0270,
grated garlic,ING0314,
grated ginger,ING0237,
grated lauki,ING2424,
grated mawa,ING0844,
grated mozzarella cheese,ING1119,
grated onion,ING2137,
grated onions,ING2226,
grated paneer,ING0879,
grated pepper jack cheese,ING1936,
greek yogurt,ING0496,
greek yogurt ),ING2959,
green beans,ING0215,
green bell pepper,ING0407,
green capsicum,ING0443,
green cardamom,ING0181,
green cardamom pods,ING0159,
green cardamom powder,ING0808,
green cardamom seeds powder,ING0121,
green cardamoms,ING0127,
green chili,ING0013,green chilies|green chilli
green chili [1 gram] or adjust,ING1559,
green chili [or add more ],ING1657,
green chili peppers ),ING2663,
green chili sauce,ING0623,
green chilli ),ING1279,
green chilli paste,ING1104,
green chillies,ING0538,
green chillis,ING1148,
green chillli,ING1386,
green chutney,ING0100,
green coriander chutney,ING0410,
green enchilada sauce,ING1905,
green food color,ING0484,
green grapes,ING1828,
green jackfruit,ING2134,
green moong dal,ING0767,
green onion,ING0422,
green onions,ING0284,
green onions ),ING2033,
green peas,ING0050,
green pepper,ING0105,
green pepper or capsicum,ING2481,
ground almonds,ING2790,
ground black pepper,ING0487,
ground cardamom,ING0887,
ground cinnamon,ING0324,
ground coffee,ING2117,
ground coriander,ING1775,
ground cumin,ING0835,
ground flaxseed,ING2521,
ground ginger,ING0403,
ground nutmeg,ING0642,
ground pepper,ING1862,
ground pistachio powder,ING2613,
ground pistachios,ING2059,
ground sumac,ING1776,
ground turmeric,ING0885,
gulab jamun,ING2375,
gulab jamuns,ING0888,
gulkand,ING0173,
gulkand [rose petal preserve],ING1759,
gulla,ING1151,
hakka noodles or any noodles,ING1181,
half lime,ING1993,
handful coriander,ING0692,
handful coriander leaves,ING1067,
handful mint,ING0759,
handful mint leaves,ING0920,
handful of coriander leaves,ING0700,
handful of mozzarella,ING1146,
handful of mozzarella cheese,ING1160,
handful of palak,ING1110,
handful of pomegranate seeds,ING1093,
handful of sev,ING0533,
handful of tutti frutti,ING1109,
handful pudina,ING1076,
handful sev,ING1056,
handful spaghetti,ING1246,
hazelnut spread,ING2486,
hazelnuts,ING2524,
head broccoli,ING1952,
head butter lettuce,ING2157,
head cauliflower,ING0858,
head cauliflower ),ING2122,
head green cabbage,ING2416,
head of a cauliflower,ING2357,
head of broccoli,ING2586,
heavy cream,ING0053,
heavy cream ),ING2183,
heavy cream [or milk or half n half],ING2235,
heavy whipping cream,ING0278,
heavy whipping cream ),ING2669,
heavy whipping cream or fresh cream or malai,ING0220,
hesaru bele or moong dal,ING1342,
hing,ING0045,pinch hing|pinch of hing
hing powder,ING0806,
hoisin sauce,ING0503,
honey,ING0130,
honey for serving,ING1046,
honey or sugar,ING2615,
honeycrisp apple,ING2397,
horsegram,ING0781,
hot coffee,ING2523,
hot honey and sea salt flakes,ING2231,
hot oil,ING0766,
hot sauce,ING0319,
hummus,ING1816,
hung curd,ING0689,
ice cream,ING2687,
ice cream ),ING1103,
ice cubes,ING0227,
icing sugar,ING1090,
idli,ING0768,
idli rava,ING1233,
idli rava - cream of rice,ING1318,
idli rice,ING0348,
idli rice or sona masuri rice,ING0775,
idli-dosa batter,ING2051,
idlis,ING0743,
inch ginger,ING1143,
inches ginger,ING1242,
indian butterscotch essence,ING0896,
indian tea,ING2863,
instant coffee,ING0641,
instant coffee powder,ING2246,
instant gulab jamun mix,ING1111,
instant masala dosa mix,ING1236,
instant oats,ING2814,
instant rabdi,ING2304,
instant yeast,ING2876,
italian parsley,ING2600,
italian seasoning,ING0307,
jackfruit leaves for making idli kotte,ING1336,
jaggery,ING0051,
jaggery powder,ING0254,
jalapeno,ING0224,
jalapeno pepper,ING2215,
jalapenos,ING2406,
jalapeño,ING0161,
jalapeños,ING1161,
jam,ING2271,
jamun pulp,ING2614,
japanese eggplant,ING1871,
jasmine rice,ING0795,
jeerakasala rice,ING1448,
jowar flour,ING0458,
juice of 1 lemon,ING0472,
juice of 1 lemon or lime,ING1814,
juice of 1 lime,ING0350,
juice of half lemon,ING0488,
kadle bele,ING1282,
kahmiri red chilli powder,ING1460,
kaju,ING0777,
kala chana,ING0876,
kala namak,ING0136,
kale,ING0400,
kale [ using food processor],ING1695,
kalonji,ING0468,
kalonji seeds,ING1954,
karela,ING2330,
kashmir red chilli powder,ING1441,
kashmiri chili powder,ING0724,
kashmiri chilli powder,ING0165,
kashmiri dried red chilies,ING0655,
kashmiri mirch powder,ING1646,
kashmiri red chili,ING1183,
kashmiri red chili powder ),ING0617,
kashmiri red chili pwoder,ING1170,
kashmiri red chilli,ING0454,
kashmiri red chilli pwoder,ING1037,
kashmiri whole dried red chilies,ING2066,
kasmiri red chili powder,ING2125,
kasoori methi ),ING2960,
kasturi methi,ING1764,
kasuri methi,ING0038,kasoori methi
kasuri methi [dried fenugreek leaves],ING0814,
kataifi dough,ING2611,
kataifi pastry,ING2472,
kesar,ING1369,
kesar pista shrikhand,ING2346,
kewra essence,ING0598,
kewra essence or rose essence,ING2303,
khas khas,ING0654,
khoya,ING0300,
khoya ),ING2808,
kidney beans,ING0851,
kilogram red carrots,ING2034,
kokum,ING1433,
ladi pav,ING2549,
lagre green chili,ING2753,
lauki,ING0269,
lavang,ING0138,
lb baby potatoes,ING1866,
lb baby spinach,ING1863,
lb brussel sprouts,ING2192,
lb butternut squash,ING2209,
lb carrots,ING0603,
lb diced butter nut squash,ING2602,
lb dried chickpeas ),ING2905,
lb greek yogurt,ING1938,
lb okra,ING2502,
lb pizza dough,ING1997,
lb potatoes ),ING2939,
lb spinach,ING1874,
lb squash,ING2193,
lb tofu,ING0901,
lb tomatoes,ING2942,
leaves lettuce,ING2828,
leaves mint,ING1380,
leaves pudina,ING1468,
leaves spinach,ING2936,
leftover any punjabi chole gravy,ING2802,
leftover chapati,ING1116,
leftover dal,ING2729,
lemon,ING0110,
lemon extract,ING0643,
lemon juice,ING0019,
lemon juice [optional],ING1706,
lemon juice of,ING2566,
lemon juice or lime juice,ING0219,
lemon or lime,ING0847,
lemon or lime wedges,ING1890,
lemon sized tamarind,ING1307,
lemon sized tamarind extract,ING1404,
lemon slices,ING1594,
lemon wedge,ING2164,
lemon wedges,ING0863,
lemon zest,ING0325,
lemons,ING2144,
less than 1,ING2852,
lettuce,ING0708,
lettuce leaves,ING0451,
light brown sugar,ING0323,
lime,ING0175,
lime juice,ING0232,
lime or lemon juice,ING2085,
lime wedges,ING0370,
limestone,ING1449,
liter vanilla ice cream,ING1784,
liters whole milk,ING0626,
litre + 3 tbsp whole milk,ING2239,
litre full cream milk,ING1132,
litre whole milk,ING1751,
little more than 1,ING2789,
lobia,ING1452,
long beans,ING1193,
long grain rice or basmati rice,ING2788,
loose black tea leaves,ING2282,
loose tea leaves,ING2048,
loose tea leaves [i used indian society tea brand],ING1694,
low fat milk,ING0716,
lukewater as required,ING1141,
mace,ING1139,
maggi pack,ING1097,
maize flour,ING1456,
makhana,ING2090,
makki atta,ING2345,
mango,ING0764,
mango ),ING1366,
mango essence,ING2476,
mango jelly,ING1186,
mango juice,ING2681,
mango pieces,ING0546,
mango powder,ING0687,
mango pulp,ING0536,
mango pulp or puree,ING0519,
mango puree,ING0298,
"mango puree , preferably use indian mangoes like kesar, alphonso )",ING2500,
mangoes,ING0233,
maple syrup,ING0236,
maraschino cheeries,ING2259,
maraschino cherries,ING2237,
marinara sauce ),ING2324,
masala peanuts,ING1094,
mascarpone cheese,ING2374,
mashed,ING1054,
mashed banana,ING0946,
mashed paneer,ING2425,
mashed potato,ING2047,
masoor dal,ING0245,
masoor dal dhuli,ING2429,
masoor dal sabut,ING2562,
matar,ING1073,
mattu gulla,ING1267,
mawa,ING0218,
mawa ),ING0959,
mayonnaise,ING0295,
mayonnaise sauce,ING1203,
medjool dates,ING0621,
meethi chutney,ING0974,
melon seeds,ING0633,
melted butter,ING0752,
melted butter or ghee,ING2366,
melted ghee,ING0404,
melting chocolate wafers,ING2544,
menthe,ING1264,
methi,ING0079,
methi leaves,ING1144,
methi leaves ),ING2031,
methi powder,ING0727,
methi seeds,ING0231,
milk,ING0018,
milk ),ING0954,
milk [i used 1%],ING1758,
milk [i used 2%],ING1676,
milk or heavy cream,ING2302,
milk powder,ING0063,
milkmaid,ING1083,
minced garlic,ING0930,
minced garlic and ginger,ING1645,
minced ginger,ING0931,
mint,ING0111,
mint chutney,ING0913,
mint extract,ING1789,
mint flakes,ING1735,
mint for garnishing,ING1549,
mint leaves,ING0090,
mint leaves ),ING2151,
mint powder,ING1933,
mirin,ING2123,
mishri,ING1787,
mixed dal [equal amount of toor,ING1616,
"mixed greens like spinach, bathua",ING2172,
mixed herbs,ING0131,
mixed vegetables,ING2651,
molasses,ING2258,
mooli,ING0842,
moong dal,ING0166,
moong dal [120 grams],ING1639,
moong dal dhuli,ING0312,
"moong dal dhuli , 205 grams)",ING2095,
moong dal dhuli [yellow split lentil],ING1719,
moong dal kachori or matar kachori,ING1150,
moong sprouts,ING0770,
more amul butter,ING1916,
