ingredient_id,canonical_name,aliases
ING0702,dalia,
ING0703,chapati,
ING0704,cheddar,
ING0705,strands of saffron,
ING0706,water to knead dough,
ING0708,lettuce,
ING0709,boiled potato,
ING0710,oil to grease mould and deep fry,
ING0712,bitter gourd,
ING0713,bread slice,
ING0714,ash gourd,
ING0715,chia seeds,
ING0716,low fat milk,
ING0717,choco chips,
ING0718,whole dried kashmiri red chilli,
ING0719,agar-agar,
ING0720,caraway seeds,
ING0721,nutmeg,
ING0722,whole kashmiri red chilli,
ING0723,pinch of cumin powder,
ING0724,kashmiri chili powder,
ING0725,fistful of coriander leaves,
ING0726,scoop vanilla ice cream,
ING0727,methi powder,
ING0728,suran,
ING0729,tin,
ING0730,strawberries,
ING0731,raw banana,
ING0732,thick avalakki,
ING0733,cupcake liners,
ING0734,thick fresh curd,
ING0735,fistful pudina,
ING0736,broccoli,
ING0737,fistful coriander leaves,
ING0738,fried onion,
ING0739,mozzarella or cheddar cheese,
ING0740,water as required for kneading,
ING0741,wheat flour for dusting,
ING0742,ghee or oil as required,
ING0743,idlis,
ING0744,cinammon stick,
ING0746,crushed black pepper,
ING0747,size tomato,
ING0748,size onion,
ING0749,of urad dal,
ING0750,ball of tamarind,
ING0751,tamarind,
ING0752,melted butter,
ING0753,thin rice flakes,
ING0756,टी स्पून कसूरी मेथी,
ING0757,pinch saffron food colour,
ING0758,scoops vanilla ice cream,
ING0759,handful mint,
ING0760,red-hot charcoal,
ING0761,grams oil,
ING0762,"butter, room temperature",
ING0763,florets cauliflower,
ING0764,mango,
ING0765,orange,
ING0766,hot oil,
ING0767,green moong dal,
ING0768,idli,
ING0769,टी स्पून इलायची पाउडर,
ING0770,moong sprouts,
ING0771,cubes capsicum,
ING0772,dark chocolate,
ING0773,eggless mayonnaise,
ING0774,"gm carrot, grated",
ING0775,idli rice or sona masuri rice,
ING0776,cubes cheese,
ING0777,kaju,
ING0778,thin poha,
ING0779,cherry tomato,
ING0780,dill leaves,
ING0781,horsegram,
ING0782,pinch kashmiri red chilli powder,
ING0783,butter for toasting,
ING0784,टी स्पून मेथी,
ING0785,लौंग,
ING0786,टी स्पून अदरक लहसुन पेस्ट,
ING0787,टी स्पून अदरक पेस्ट,
ING0788,बीन्स,
ING0789,सूखे लाल मिर्च,
ING0790,टेबल स्पून हरा प्याज,
ING0791,टेबल स्पून विनेगर,
ING0792,टेबल स्पून सोया सॉस,
ING0793,pieces of chocolate,
ING0794,sugar crystals,
ING0795,jasmine rice,
ING0796,stalks of spring onion,
ING0797,oz semi-sweet chocolate chips,
ING0798,crushed coriander seeds,
ING0799,more oil,
ING0801,dried mango powder,
ING0802,water or vegetable broth,
ING0803,parsley or cilantro,
ING0806,hing powder,
ING0808,green cardamom powder,
ING0809,crumbled khoya,
ING0810,dried mango powder [amchur],
ING0811,sliced nuts,
ING0812,all purpose flour [maida],
ING0813,ajwain [carom seeds],
ING0814,kasuri methi [dried fenugreek leaves],
ING0815,vanilla ice cream,
ING0816,parmesan cheese,
ING0817,fresh basil,
ING0818,urad dal dhuli [split black gram without skin],
ING0819,dry milk powder,
ING0820,chocolate sauce,
ING0822,dill,
ING0824,whole almonds,
ING0827,cheese slices,
ING0828,baby eggplants,
ING0830,eggplants,
ING0832,yellow food color,
ING0834,red lentils,
ING0835,ground cumin,
ING0836,agar agar flakes,
ING0837,cherries,
ING0838,extra-firm tofu,
ING0839,crushed peanuts,
ING0840,dried milk powder,
ING0842,mooli,
ING0844,grated mawa,
ING0845,rotis,
ING0846,coconut extract,
ING0847,lemon or lime,
ING0850,black beans,
ING0851,kidney beans,
ING0852,stalks lemongrass,
ING0853,whisked plain yogurt,
ING0855,whole black peppercorns,
ING0858,head cauliflower,
ING0859,pinch cinnamon powder,
ING0860,thai green chili,
ING0861,nylon sev,
ING0862,shredded cheese,
ING0863,lemon wedges,
ING0864,crushed canned tomatoes,
ING0867,sweet onion,
ING0869,tandoori masala,
ING0871,edible silver leaves,
ING0876,kala chana,
ING0877,urad dal ),
ING0879,grated paneer,
ING0880,arbi,
ING0881,basil,
ING0882,generous pinch of hing,
ING0885,ground turmeric,
ING0887,ground cardamom,
ING0888,gulab jamuns,
ING0889,motichoor ladoo,
ING0891,urad dal gota,
ING0892,old fashioned rolled oats,
ING0893,stalk celery,
ING0894,pinch garam masala,
ING0895,fine sooji,
ING0896,indian butterscotch essence,
ING0897,peppers,
ING0898,yogurt ),
ING0899,gochujang,
ING0900,chili bean sauce,
ING0901,lb tofu,
ING0902,generous pinch baking soda,
ING0908,pinch ajwain,
ING0909,grated carrots,
ING0910,vegan butter,
ING0911,chickpea flour [besan],
ING0913,mint chutney,
ING0914,sambal oelek,
ING0916,all spice,
ING0917,parle-g biscuits,
ING0918,mustard greens,
ING0919,white chocolate melting wafers,
ING0920,handful mint leaves,
ING0921,drops peppermint extract,
ING0923,beets,
ING0925,chipotle powder,
ING0927,yellow corn,
ING0928,red chili powder ),
ING0930,minced garlic,
ING0931,minced ginger,
ING0932,chili oil,
ING0935,confectioners sugar,
ING0936,pineapple juice,
ING0937,"unsalted butter , at room temperature)",
ING0938,cardamom essence,
ING0939,almond milk,
ING0940,oz chocolate,
ING0941,oz heavy cream,
ING0942,canola oil or any flavorless oil,
ING0943,fresh blueberries,
ING0944,orange extract,
ING0945,watermelon seeds,
ING0946,mashed banana,
ING0947,crushed dried rose petals,
ING0948,almond extract,
ING0950,cardamom pods,
ING0951,blueberries,
ING0952,unsweetened applesauce,
ING0953,rice wine,
ING0954,milk ),
ING0955,bunches cilantro,
ING0957,roasted vermicelli,
ING0958,bura,
ING0959,mawa ),
ING0966,mukhwas,
ING0968,bunch cilantro,
ING0972,murmura,
ING0973,thin nylon sev,
ING0974,meethi chutney,
ING0975,corn flakes cereal,
ING0976,a pinch or 1,
ING0978,batch buttercream frosting,
ING0979,whole green moong dal,
ING0986,dried red chilies ),
ING0990,can sweetened condensed milk,
ING0996,almonds ),
ING0999,garlic ),
ING1001,short grain rice,
ING1003,chilkewali moong dal,
ING1004,coconut ),
ING1013,sooji ),
ING1018,"coconut , grated)",
ING1021,"plain yogurt , sour)",
ING1025,or 7 oz paneer,
ING1027,strands mace,
ING1029,a pinch baking powder,
ING1031,sugar ),
ING1035,a pinch baking soda,
ING1037,kashmiri red chilli pwoder,
ING1038,farsan,
ING1039,कप घी,
ING1040,बर्फ का टुकड़ा,
ING1041,कप शक्कर,
ING1042,सूखे मेवे,
ING1043,चाँदी का वर्क,
ING1044,कप वर्मिसेली,
ING1045,butter for serving,
ING1046,honey for serving,
ING1047,कप दही,
ING1048,कप तेल,
ING1049,टी स्पून वनीला अर्क,
ING1050,टेबल स्पून चीनी,
ING1051,कप शहद,
ING1052,कप स्ट्रॉबेरी जैम,
ING1053,टेबल स्पून शहद,
ING1054,mashed,
ING1055,puri,
ING1056,handful sev,
ING1058,pinch orange food colour,
ING1060,dried kashmir red chilli,
ING1061,chapathi,
ING1062,tspschezwan sauce,
ING1064,slices processed cheese,
ING1065,pinch of soda,
ING1066,whole green chilli,
ING1067,handful coriander leaves,
ING1068,gm curd,
ING1069,drops saffron food colour,
ING1070,dry fenugreek leaves,
ING1071,black chana,
ING1072,ball tamarind,
ING1073,matar,
ING1074,ginger-garlic,
ING1075,white peas,
ING1076,handful pudina,
ING1077,gm or 2 pack rice noodles,
ING1080,custard powder ),
ING1081,cubes panner,
ING1082,dry grapes,
ING1083,milkmaid,
ING1084,paan leaf,
ING1086,whole lemon juice,
ING1087,"gm unsalted butter, room temperature",
ING1088,gm condensed milk,
ING1089,gm cream cheese,
ING1090,icing sugar,
ING1091,rasins,
ING1092,whole black pepper,
ING1093,handful of pomegranate seeds,
ING1094,masala peanuts,
ING1095,garlic chutney,
ING1096,florets broccoli,
ING1097,maggi pack,
ING1100,chana masala,
ING1101,cubes mozzarella cheese,
ING1102,threads saffron,
ING1103,ice cream ),
ING1104,green chilli paste,
ING1106,boiled vegetables,
ING1107,coconut chutney,
ING1108,pav bhaji masala powder,
ING1109,handful of tutti frutti,
ING1110,handful of palak,
ING1111,instant gulab jamun mix,
ING1112,pack maggi noodles or any noodles,
ING1113,pack maggi masala,
ING1114,boiled potatoes,
ING1116,leftover chapati,
ING1117,garlic mayonnaise,
ING1118,slices tomatoes,
ING1119,grated mozzarella cheese,
ING1120,mustard sauce,
ING1121,saffron threads,
ING1122,chocolate pieces,
ING1124,fried gram dal,
ING1125,fistful peanuts,
ING1126,of urad dal or uddina bele,
ING1127,of channa dal or kadle bele,
ING1128,of rice flour,
ING1129,of dry coconut,
ING1130,oil to fry,
ING1132,litre full cream milk,
ING1133,bean,
ING1134,soya bean,
ING1135,water to boil,
ING1136,soya chaap sticks,
ING1137,fresh cream,
ING1139,mace,
ING1141,lukewater as required,
ING1142,amla,
ING1143,inch ginger,
ING1144,methi leaves,
ING1145,⅛ tsp turmeric powder,
ING1146,handful of mozzarella,
ING1147,oil to deep fry,
ING1148,green chillis,
ING1149,pumpkin,
ING1150,moong dal kachori or matar kachori,
ING1151,gulla,
ING1152,sandige menasu,
ING1153,ripped tomatoes,
ING1154,generous pinch asafoetida,
ING1155,black grapes,
ING1156,grape syrup,
ING1157,th tsp baking powder,
ING1158,th tsp baking soda,
ING1159,cooking oil,
ING1160,handful of mozzarella cheese,
ING1161,jalapeños,
ING1162,pinch of chilli flakes,
ING1163,pinch of oregano,
ING1164,sized purple brinjal,
ING1166,bunch palak leaves,
ING1167,sized potatoes,
ING1168,chili sauce,
ING1169,sized tomatoes,
ING1170,kashmiri red chili pwoder,
ING1171,sized capsicum ),
ING1172,size raw banana,
ING1173,onion ),
ING1174,of curd,
ING1175,cubes of ice,
ING1176,chocolate syrup,
ING1177,full cream cows,
ING1179,bar dark chocolate,
ING1180,mustard powder,
ING1181,hakka noodles or any noodles,
ING1182,seeds methi,
ING1183,kashmiri red chili,
ING1184,basil seeds,
ING1185,falooda sev,
ING1186,mango jelly,
ING1187,scoop mango ice cream,
ING1188,pinch red food colour,
ING1189,stem spring onions,
ING1190,rice noodles,
ING1192,"blocks cream cheese, softened",
ING1193,long beans,
ING1194,tindora,
ING1195,elephant foot yam,
ING1196,drumstick,
ING1197,pieces mango,
ING1198,dried red chilis,
ING1199,ginger and garlic,
ING1200,dry garlic powder,
ING1202,cheese slice,
ING1203,mayonnaise sauce,
ING1204,sized carrot,
ING1205,pickled jalapeños,
ING1206,black olives,
ING1208,puris,
ING1209,pinch of kashmiri chili powder,
ING1211,cooked toor dal,
ING1212,oreo biscuits,
ING1214,oreo biscuit,
ING1215,full cream milk powder,
ING1217,ripped red tomatoes,
ING1218,water as required to knead dough,
ING1219,cabbage leaf for placing in tray,
ING1220,packet maggi masala,
ING1221,packet maggi noodles,
ING1222,sized cucumber,
ING1223,waffle cones,
ING1224,fistful mint,
ING1226,full recipe of chole,
ING1227,crushed pepper,
ING1228,snake gourd,
ING1229,piece of tamarind,
ING1231,sal,
ING1232,water as required to blend smooth,
ING1233,idli rava,
ING1234,oil to grease idli plate,
ING1235,sugar powder,
ING1236,instant masala dosa mix,
ING1238,whisked curd,
ING1239,salt as per the taste,
ING1240,water to maintain the consistency,
ING1241,carrot ),
ING1242,inches ginger,
ING1246,handful spaghetti,
ING1247,panko bread crumbs or any of your choice,
ING1248,to othpick to secure mushrooms,
ING1249,palak leaves,
ING1250,big bitter gourd,
ING1251,preferably coconut oil,
ING1252,big piece jaggery,
ING1254,tomato sauce or add as required,
ING1255,bowl beetroot,
ING1256,salt for taste,
ING1257,slice of bread ),
ING1258,bowl set dosa batter,
ING1259,pepper powder,
ING1262,salt a pinch,
ING1263,sona masuri rice,
ING1264,menthe,
ING1265,paper avalakki,
ING1266,oil for greasing tawa,
ING1267,mattu gulla,
ING1268,cooked toor daal,
ING1270,grape size tamarind,
ING1272,piece dry pomegranate peels,
ING1273,yoghurt,
ING1274,sun dried kokum,
ING1275,red chilli powder,
ING1276,oma,
ING1277,oil as required,
ING1278,fresh okras,
ING1279,green chilli ),
ING1280,sprig of curry leaves,
ING1282,kadle bele,
ING1283,to 12 byadagi or bedgi red chilies,
ING1285,to 14 curry leaves,
ING1286,asafoetida,
ING1287,of dried coconut,
ING1288,stem curry leaves,
ING1289,stem coriander leaves,
ING1290,tea powder,
ING1291,cardamoms,
ING1294,toor daal,
ING1295,split urad dal,
ING1296,sweet potato,
ING1297,water to prepare batter,
ING1298,plain flour,
ING1299,coco powder,
ING1300,a pinch of baking soda,
ING1301,fistful chocolate chunks,
ING1302,fistful raisins,
ING1303,sugar powder for toppings,
ING1304,chocolate syrup for toppings,
ING1306,of fresh or desiccated coconut,
